Gene,KRAS_mean,WT_mean,Diff,Pvalue
SLC20A2 (6575),-0.21878891661411579,-0.0721501354821393,-0.14663878113197648,0.010789823134964705
C8orf58 (541565),-0.03877155028928983,0.03836085938823319,-0.07713240967752302,0.010799512175435679
SPIN1 (10927),0.10403362350076843,-0.0009719150879334154,0.10500553858870185,0.010812214246325733
FGF14 (2259),0.11175499973630813,0.01094089886633253,0.10081410086997561,0.010814488409706299
AHNAK2 (113146),0.2186800490626498,0.10278555139941187,0.11589449766323792,0.010817673401507823
DPPA5 (340168),-0.48305794718777606,-0.2849153339289543,-0.19814261325882176,0.010821197602988239
ZNF654 (55279),-0.1283508707852469,-0.025370711490303722,-0.10298015929494318,0.010824905892351444
PTBP2 (58155),0.14276775708352762,0.05294594572363538,0.08982181135989224,0.010858142942622346
FBXO39 (162517),-0.02128101914694505,0.05075507862411371,-0.07203609777105877,0.010887006449044076
SMIM18 (100507341),0.01852781564625075,0.10965270956575295,-0.0911248939195022,0.010912715179738196
SLU7 (10569),-1.411111604248007,-1.2002679345366096,-0.21084366971139734,0.01091737909294139
RAB33A (9363),0.011773825377724076,-0.06376806858648228,0.07554189396420635,0.010934621712595525
ETFBKMT (254013),-0.1573528840936899,-0.014743367002783087,-0.1426095170909068,0.010935485807268788
IFI44L (10964),-0.19961532986804698,-0.08938085739620534,-0.11023447247184164,0.011194465108448615
TWIST2 (117581),0.13212171787113383,0.04205518736263443,0.0900665305084994,0.011222160502962595
RTL9 (57529),0.08360140867326948,0.01796859779349199,0.06563281087977749,0.011246029828930719
CIMIP5 (130813),0.09421265930408322,-0.03447426949757152,0.12868692880165475,0.01127330911839622
COL23A1 (91522),0.14359555384245862,0.07084387535635515,0.07275167848610346,0.011280886047868262
CYP4F3 (4051),-0.08338431360181363,0.06593940749281033,-0.14932372109462394,0.011344273246634163
CITED2 (10370),-0.05943328877479757,-0.21235267757545687,0.1529193888006593,0.011345198274332545
PURA (5813),0.11766831418947121,0.02894331937227122,0.08872499481719999,0.011387794114095446
RAB1A (5861),-0.0832597868304129,-0.2362629545434337,0.1530031677130208,0.011420243466657256
ACBD7 (414149),0.03173933128550331,0.10088903567068068,-0.06914970438517737,0.011425486789227862
MAP3K21 (84451),0.06853409949658067,-0.03183594132389995,0.10037004082048062,0.011427296260768573
KPNB1 (3837),-2.701076687595984,-2.4473329097497527,-0.2537437778462315,0.011436736582836596
HLA-B (3106),0.05516524761481403,-0.09864584597332926,0.1538110935881433,0.011467508122312176
EPM2A (7957),-0.07506152441324661,0.0009844517061384968,-0.0760459761193851,0.011479289905727818
SUSD3 (203328),0.16117853050700087,0.048988975779965645,0.11218955472703523,0.011535483337503902
