Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,RNA degradation,0.4265691213216754,1.6682058300246563,2.000000e-03,6.031310e-02,4.600000e-01,16/71,6.74%,LSM2;EXOSC3;XRN1;LSM3;DCP2;EXOSC6;HSPA9;NUDT16;DDX6;PFKP;EXOSC9;BTG1;EXOSC7;CNOT8;PNPT1;PAN3
prerank,Bladder cancer,-0.47156406246272337,-1.6667401168280032,1.244813e-02,9.165150e-02,5.580000e-01,3/41,0.08%,KRAS;CDK4;CCND1
prerank,Progesterone-mediated oocyte maturation,-0.40423877516199275,-1.6544167560411966,8.510638e-03,9.468387e-02,5.900000e-01,16/89,9.71%,KRAS;PKMYT1;AURKA;ANAPC13;KIF22;CCNB1;GNAI1;RPS6KA3;CDC23;PIK3R3;MAD2L1;PLK1;MAD2L2;PRKACA;BUB1;CDC25C
prerank,VEGF signaling pathway,-0.42828719512110486,-1.6475829115169878,2.118644e-02,9.266985e-02,6.040000e-01,13/58,14.76%,KRAS;CDC42;PRKCA;RAC3;PIK3R3;NOS3;PLA2G4D;PLCG2;RAC2;PRKCB;MAP2K2;MAPK12;PPP3CB
prerank,Endometrial cancer,-0.4245659173349472,-1.6384648420706314,1.724138e-02,9.364769e-02,6.300000e-01,5/58,0.61%,KRAS;CCND1;PTEN;FOXO3;CTNNA2
prerank,Pancreatic cancer,-0.40914128369602626,-1.617822595703432,1.287554e-02,1.057365e-01,7.040000e-01,9/76,6.57%,KRAS;CDK4;CCND1;CDC42;BRCA2;RPS6KB1;RAC3;STAT1;PIK3R3
prerank,Prolactin signaling pathway,-0.409125423756827,-1.6022456299867238,1.287554e-02,1.126136e-01,7.400000e-01,10/70,6.82%,KRAS;CCND1;FOXO3;SOCS3;PRLR;GSK3B;SOCS4;STAT1;PIK3R3;SOCS5
prerank,Ribosome biogenesis in eukaryotes,0.41537143438170177,1.5931787977434437,2.000000e-03,1.088618e-01,7.060000e-01,20/72,8.05%,XRN1;MDN1;NVL;WDR36;RPP40;IMP3;GNL3;NOB1;REXO2;FCF1;FBL;POP1;WDR75;GAR1;POP5;NOP58;WDR43;RRP7A;EIF6;UTP4
prerank,Spliceosome,0.37783111587317564,1.5919190399297019,2.000000e-03,9.991428e-02,7.100000e-01,44/128,12.02%,TXNL4A;LSM2;SNRPD3;PUF60;SF3B4;SNRPF;SF3B5;PRPF31;LSM3;U2AF2;SNRPD1;PRPF38A;PLRG1;DHX15;XAB2;RBMXL1;MAGOH;THOC3;EIF4A3;SNRPA1;SRSF3;HNRNPA1L2;CTNNBL1;SF3A3;SF3B6;HNRNPK;RBMXL3;DDX46;ACIN1;PRPF8;NCBP2;SF3A1;PPIH;SRSF4;BCAS2;THOC2;SRSF9;HNRNPM;RBMX;PRPF38B;AQR;PHF5A;SNRPE;HSPA6
prerank,Serotonergic synapse,-0.3746331849709756,-1.5903343923243871,8.733624e-03,1.178168e-01,7.740000e-01,26/111,18.21%,KRAS;GNAI1;PRKCA;HTR1F;DDC;TPH2;GNG3;GNB4;HTR2B;GNG13;KCNN2;PLA2G4D;PRKACA;HTR1B;TPH1;CYP2D6;PRKCB;PRKACB;CASP3;GNG2;SLC6A4;ADCY5;ALOX5;ITPR2;ALOX15B;PRKACG
prerank,Melanoma,-0.3971916257304047,-1.583538198371393,4.385965e-03,1.177285e-01,7.920000e-01,4/71,0.18%,KRAS;CDK4;CCND1;PTEN
prerank,Glycosaminoglycan biosynthesis,0.4239158172013837,1.573621828807324,2.008032e-02,1.097317e-01,7.520000e-01,21/53,22.71%,EXTL3;NDST1;CHST3;CHST12;HS2ST1;CHST15;B3GALT6;CHST13;EXT2;EXT1;B4GALT7;CHPF;CSGALNACT1;HS3ST1;HS6ST1;HS6ST2;B3GNT2;HS3ST3B1;GLCE;CHST6;CHSY3
prerank,Oxytocin signaling pathway,-0.35099978969503765,-1.5587298407424512,4.255319e-03,1.342276e-01,8.280000e-01,41/150,20.18%,KRAS;CCND1;PPP1R12A;PRKAG2;PPP1CC;CALM2;GNAI1;PRKCA;PRKAG1;CACNB3;ACTG1;CACNG2;EEF2;NOS3;PLA2G4D;MYLK2;PRKACA;CAMK1G;RYR1;CDKN1A;RGS2;CAMK2D;PRKCB;CACNG3;MAP2K2;PRKACB;MYLK3;PPP3CB;ADCY5;KCNJ4;ITPR2;RCAN1;CALML6;CACNB2;PRKACG;MEF2C;RYR2;CACNB1;GUCY1A1;NPR2;PIK3R5
prerank,AGE-RAGE signaling pathway in diabetic complications,-0.38031640338046585,-1.5581355887091535,4.484305e-03,1.285952e-01,8.280000e-01,9/99,7.09%,KRAS;CDK4;CCND1;CDC42;PRKCA;DIAPH1;STAT1;PIK3R3;NOS3
prerank,Terpenoid backbone biosynthesis,0.5169141550147938,1.5220296829431679,4.850746e-02,1.577292e-01,8.820000e-01,7/22,4.76%,FDPS;HMGCR;NUS1;FNTA;PDSS1;PMVK;MVD
prerank,Oxidative phosphorylation,0.3525356617198607,1.5084975328010723,7.407407e-03,1.651036e-01,9.020000e-01,33/117,10.94%,ATP6V1F;NDUFA6;UQCR10;ATP5MF;PPA2;COX7C;ATP5F1A;ATP5ME;ATP5PB;NDUFB4;COX6B2;NDUFB11;COX7B;SDHD;NDUFA4;ATP6V0C;ATP4A;ATP5F1E;COX10;ATP6V0E1;ATP6V0D1;CYC1;UQCRFS1;NDUFB10;COX6A2;UQCRC1;NDUFB8;COX5B;COX6C;NDUFB7;ATP5MG;NDUFA12;NDUFA8
prerank,Homologous recombination,-0.4288770530341884,-1.5026942248468524,2.057613e-02,1.868048e-01,9.260000e-01,20/41,17.60%,PALB2;BRCA1;MUS81;BRCA2;XRCC2;POLD3;RAD54B;RAD54L;RAD51D;BLM;POLD4;RBBP8;MRE11;BABAM2;BRIP1;RAD51B;BRCC3;ABRAXAS1;EME1;RPA1
prerank,Oocyte meiosis,-0.34819353908037143,-1.4958060267828435,1.310044e-02,1.883699e-01,9.340000e-01,35/118,18.21%,FBXO5;PKMYT1;PPP2R1A;AURKA;ANAPC13;PPP1CC;CCNB1;CALM2;RPS6KA3;PPP2R5E;CDC23;SMC1A;FBXW11;PPP2R5C;MAD2L1;PLK1;MAD2L2;PRKACA;BUB1;CDC25C;BTRC;CAMK2D;PPP2R5D;MAPK12;PRKACB;PPP3CB;ADCY5;ANAPC1;FBXO43;CPEB1;ITPR2;CALML6;PLCZ1;CDK2;PRKACG
prerank,mTOR signaling pathway,-0.33530078558660015,-1.4938323017482227,4.366812e-03,1.832078e-01,9.380000e-01,33/153,12.40%,KRAS;ATP6V1A;PTEN;LAMTOR2;ATP6V1E1;ATP6V1G1;PRKCA;ATP6V1B2;TSC1;FNIP2;DDIT4;RPS6KB1;RPS6KA3;LAMTOR3;TSC2;SLC7A5;GSK3B;NPRL2;STK11;LAMTOR1;GRB10;PIK3R3;ATP6V1C1;ATP6V1B1;EIF4E1B;DEPDC5;RRAGC;WNT8A;LPIN1;FZD3;ATP6V1D;RRAGB;PRKCB
prerank,Spinocerebellar ataxia,0.3467032627440952,1.4872583478334493,1.498127e-02,1.818341e-01,9.260000e-01,38/139,15.29%,PSMB5;TWNK;ATP2A2;AFG3L2;PSMD11;PSMB4;PSMA3;PSMA4;PSMD14;PSMD1;PUM2;FGF14;MAPK9;PSMA5;PPIF;PUM1;PIK3R2;PSMC1;PSMA2;ATG2B;KCND3;PSMA1;WIPI2;PSMB2;AKT1;PSMD13;SP1;KCNC3;ULK1;ATXN10;PSMD6;TRPC3;PSMB1;TBP;AKT3;PIK3CA;RBPJL;GRIA3
prerank,Basal transcription factors,0.43138640444858034,1.4791735223664855,5.223881e-02,1.814675e-01,9.380000e-01,18/41,17.49%,ERCC3;GTF2H1;TAF6;MNAT1;TAF10;GTF2A1;CDK7;TAF4B;TAF5L;TAF4;GTF2A2;TBP;TAF11;TAF7;CCNH;GTF2IRD1;TAF9B;GTF2F2
prerank,Non-small cell lung cancer,-0.3811154317356863,-1.4723250301533113,3.539823e-02,2.041329e-01,9.600000e-01,5/71,2.17%,KRAS;CDK4;CCND1;FOXO3;PRKCA
prerank,Cellular senescence,-0.328509900382241,-1.4558029081669608,1.276596e-02,2.230304e-01,9.780000e-01,12/154,2.57%,KRAS;CDK4;ZFP36L1;CCND1;TRPM7;PTEN;FOXO3;PPP1CC;CCNB1;CALM2;TSC1;VDAC2
prerank,Fatty acid degradation,-0.4003390723407497,-1.4421298266124722,3.984064e-02,2.368018e-01,9.820000e-01,8/42,15.76%,ACSL3;ACOX1;ACAA1;ACSL6;ACAA2;CPT1B;ALDH1B1;ACADVL
prerank,Prostate cancer,-0.34863808813256086,-1.4409457702256685,1.818182e-02,2.298812e-01,9.820000e-01,13/96,8.08%,KRAS;CCND1;PTEN;ATF4;CREBBP;ZEB1;GSK3B;PDGFRA;CREB3;PIK3R3;GSTP1;MDM2;PLAT
prerank,Pyrimidine metabolism,0.40405798042217894,1.4362402484492662,4.814815e-02,2.406189e-01,9.800000e-01,11/54,16.08%,DUT;TYMS;RRM2;CMPK1;TK1;NME4;NME3;DTYMK;UMPS;DPYD;UPP2
prerank,Glioma,-0.3675139378128398,-1.4357944947959351,5.531915e-02,2.297834e-01,9.860000e-01,6/75,2.17%,KRAS;CDK4;CCND1;PTEN;CALM2;PRKCA
prerank,Alcoholism,-0.31786210244841845,-1.4348042860942232,2.000000e-03,2.237853e-01,9.860000e-01,38/166,16.22%,KRAS;ATF4;PPP1CC;CALM2;GNAI1;H2BC13;DDC;H2AC12;H2BC5;H2BC18;H2BC14;GRIN3A;HDAC3;GNG3;GNB4;CREB3;GNG13;H3C1;HDAC4;H2AC21;PRKACA;H2BC21;H2BC11;H4C1;HDAC7;H3C12;H4C4;H4C3;H2BC9;ATF2;ADORA2B;PRKACB;GNG2;H2BC4;ADCY5;H2AZ1;H2BC3;H3-3B
prerank,Phenylalanine metabolism,-0.5100770656712876,-1.4200806722230146,9.885932e-02,2.387936e-01,9.880000e-01,4/16,8.79%,GOT2;DDC;IL4I1;GLYAT
prerank,Insulin signaling pathway,-0.3214635917404968,-1.4159761678113905,1.639344e-02,2.381220e-01,9.880000e-01,20/136,8.86%,KRAS;PRKAG2;PPP1CC;CALM2;HK2;PRKAG1;TSC1;RPS6KB1;SOCS3;SREBF1;TSC2;GSK3B;PTPN1;PYGL;MKNK1;SOCS4;PIK3R3;HK1;EIF4E1B;PRKACA
